Domain,Pagespeed,Yslow,Onload,Full_load,Requests,Total_size
tagged.com/,88,65,1.2s,1.4s,46,720
2345.com/,37,53,43.2s,51.5s,195,2.29
zing.vn/,35,50,15.0s,16.2s,247,4.17
exblog.jp/,33,54,7.1s,7.2s,138,2.61
chinamobile.com/,97,77,43.1s,43.5s,20,160
expedia.com/,60,42,4.5s,7.9s,330,3.16
ameba.jp/,77,75,3.8s,4.6s,70,821
tinyurl.com/,27,65,2.2s,23.4s,642,7.82
chinanews.com.cn/,33,45,5.3s,6.0s,168,3.46
commentcamarche.net/,75,72,3.5s,7.6s,100,1.23
allabout.co.jp/,65,45,7.0s,8.6s,237,2.22
taringa.net/,8,59,20.6s,22.4s,295,8.87
nicovideo.jp/,42,40,11.2s,14.7s,405,2.79
domaintools.com/,68,77,6.0s,9.4s,92,16.8
excite.co.jp/,22,57,13.8s,19.3s,291,3.81
autohome.com.cn/,28,60,22.0s,22.4s,382,6.07
typepad.com/,92,78,4.3s,4.6s,53,4.96
ezinearticles.com/,84,82,2.5s,2.6s,25,369
shopping.com/,90,95,1.0s,2.1s,33,972
deviantart.com/,75,75,8.1s,8.5s,80,1.91
marketgid.com/,67,69,6.5s,7.2s,85,1.61
ikea.com/,85,86,0.9s,1.6s,24,450
yomiuri.co.jp/,26,47,7.3s,11.4s,366,3.15
maktoob.com/,38,45,9.7s,12.0s,511,1.44
web.de/,77,70,5.9s,10.0s,207,1.49
alimama.com/,69,74,40.5s,44.2s,104,2.76
ynet.com/,76,69,4.2s,4.3s,87,3.51
softpedia.com/,28,57,8.1s,14.2s,522,1.68
china.com/,51,48,6.8s,10.9s,177,2.41
6.cn/,53,66,7.9s,13.2s,97,4.15
5599.net/,38,53,43.5s,48.4s,228,2.44
cntv.cn/,24,56,8.0s,11.6s,211,13.3
booking.com/,68,75,3.4s,9.3s,157,1.73
orange.fr/,81,61,7.8s,12.1s,154,1.42
verycd.com/,69,57,39.7s,44.3s,122,1.05
multiply.com/,24,84,5.0s,8.8s,89,3.77
comcast.net/,48,60,5.2s,11.9s,274,1.84
skycn.com/,72,68,7.4s,8.0s,121,977
libero.it/,52,76,2.4s,24.5s,314,1.56
onet.pl/,92,67,5.1s,6.6s,68,0.97
rediff.com/,34,88,2.2s,24.2s,585,2.3
americanexpress.com/,68,75,3.5s,24.3s,117,912
dailymail.co.uk/,28,40,16.5s,29.8s,697,4.31
alot.com/,44,57,5.0s,6.4s,211,3.69
nasza-klasa.pl/,76,67,5.9s,6.9s,65,944
pchome.net/,0,65,15.9s,23.4s,178,32.3
51job.com/,55,69,14.4s,17.8s,74,1.32
okwave.jp/,62,57,8.0s,9.4s,153,1.54
70yx.com/,59,59,65.0s,65.3s,54,1.9
rakuten.ne.jp/,28,49,9.6s,22.2s,814,5.3
nikkeibp.co.jp/,59,54,7.3s,14.2s,109,14.2
mlb.com/,31,53,6.9s,33.3s,623,9.47
huffingtonpost.com/,18,43,22.0s,44.1s,1313,4.78
bestbuy.com/,69,93,0.8s,3.7s,138,799
freelotto.com/,99,98,104ms,172ms,3,12.2
yahoo.net/,41,46,8.5s,14.3s,528,2.3
docstoc.com/,99,99,17.3s,18.6s,2,83
csdn.net/,56,62,9.6s,13.6s,243,3.99
digg.com/,40,75,3.0s,21.3s,324,3.09
macromedia.com/,54,69,5.5s,9.0s,140,1.36
tumblr.com/,23,71,3.8s,4.0s,80,6.9
twitpic.com/,98,99,80ms,176ms,3,13.4
impress.co.jp/,63,69,7.1s,7.8s,50,2.72
foxsports.com/,31,48,7.6s,8.5s,254,4.86
wikia.com/,75,61,3.6s,8.2s,135,2.35
t-online.de/,35,48,12.3s,17.6s,451,2.81
verizonwireless.com/,66,68,2.5s,9.5s,151,4.93
justin.tv/,59,67,8.1s,11.0s,157,3.06
ups.com/,66,57,3.5s,5.5s,131,2
wp.pl/,80,66,8.7s,9.5s,111,1.82
docin.com/,67,70,5.1s,5.8s,54,675
pdfqueen.com/,98,94,0.6s,1.6s,14,160
dangdang.com/,68,69,7.6s,10.8s,98,2.66
focus.cn/,52,64,16.2s,16.5s,152,2.8
ziddu.com/,79,72,2.4s,2.7s,49,1.06
hubpages.com/,89,89,3.1s,3.2s,126,741
kioskea.net/,99,99,321ms,486ms,2,33
babylon.com/,75,73,3.9s,4.0s,33,767
last.fm/,72,80,1.3s,4.5s,140,3.68
wellsfargo.com/,74,68,3.7s,5.9s,88,1.23
gmx.net/,76,71,6.1s,14.6s,217,2.12
friendster.com/,94,96,2.0s,2.5s,4,141
wsj.com/,30,41,16.1s,27.2s,620,5.55
slideshare.net/,97,94,3.0s,4.2s,30,478
foxnews.com/,15,42,17.1s,28.5s,693,10.6
ganji.com/,83,68,10.5s,10.9s,91,962
iza.ne.jp/,19,46,13.4s,18.0s,671,2.7
51.com/,42,64,9.7s,9.9s,102,7.03
metrolyrics.com/,36,46,12.0s,15.4s,603,3.11
yesky.com/,73,65,5.3s,5.5s,124,1.08
usps.com/,70,72,4.8s,5.0s,111,1.41
mainichi.jp/,29,45,9.6s,14.6s,298,2.97
irs.gov/,68,73,3.4s,4.1s,99,1.62
bigpoint.com/,95,80,2.9s,3.1s,58,2.13
china.com.cn/,10,47,87.4s,87.5s,181,7.2
iciba.com/,78,73,3.0s,7.0s,45,503
hulu.com/,56,59,4.9s,7.0s,147,2.49
gmarket.co.kr/,35,56,14.6s,15.8s,202,7.16
tabelog.com/,0,45,18.0s,19.3s,293,13.3
gamespot.com/,49,71,8.3s,26.5s,351,3.38
symantec.com/,81,78,2.4s,3.5s,54,2.28
nokia.com/,72,60,6.6s,7.3s,84,2.31
pcpop.com/,65,63,7.9s,10.6s,72,1.51
pptv.com/,58,57,13.7s,30.7s,213,10.4
telegraph.co.uk/,54,45,8.0s,11.5s,298,2.69
duowan.com/,86,71,7.8s,8.1s,71,3.25
joins.com/,48,54,9.5s,9.9s,88,12.6
wordreference.com/,97,85,1.0s,1.3s,12,85.4
ign.com/,52,49,5.9s,6.5s,275,2.44
huanqiu.com/,43,68,12.3s,12.5s,116,4.47
aweber.com/,46,65,3.4s,3.6s,84,2.87
guardian.co.uk/,48,70,7.7s,21.3s,381,2.87
samsung.com/,61,63,5.9s,11.4s,157,2.76
skyrock.com/,47,69,4.5s,20.1s,399,3.17
sun.com/,55,62,3.6s,7.1s,162,1.62
the2009.cn/,99,95,1.2s,1.3s,4,15.4
musica.com/,58,85,1.0s,30.9s,279,703
icq.com/,25,74,4.4s,5.1s,49,6.52
allegro.pl/,45,59,9.8s,13.6s,290,2.46
virgilio.it/,48,62,3.1s,16.1s,369,5.98
nhk.or.jp/,29,84,1.5s,3.5s,87,3.08
linekong.com/,86,70,6.1s,9.5s,54,3.63
hudong.com/,56,75,10.7s,11.0s,32,4.94
comcast.com/,49,65,3.6s,7.2s,274,1.8
pcauto.com.cn/,58,59,10.6s,10.7s,114,1.42
sponichi.co.jp/,0,39,13.4s,15.3s,520,17.4
isohunt.com/,80,69,4.9s,5.5s,128,12.7
traviangames.com/,85,86,5.1s,6.7s,33,1.65
zimbio.com/,28,63,4.7s,14.6s,542,3.32
robtex.com/,91,82,3.4s,4.0s,37,571
wretch.cc/,22,35,14.1s,19.0s,863,5.36
japanpost.jp/,74,75,3.6s,4.4s,145,2.9
onlinedown.net/,35,60,12.0s,12.6s,179,4
godaddy.com/,75,87,0.7s,7.6s,155,1.02
vimeo.com/,33,62,4.9s,5.3s,180,7.94
qidian.com/,55,65,13.4s,14.7s,98,1.64
mapion.co.jp/,45,49,8.4s,9.9s,402,2.15
washingtonpost.com/,21,54,15.8s,19.3s,349,5.17
118114.cn/,37,60,4.4s,4.7s,36,2.5
ieaddons.com/,71,64,10.4s,18.6s,17,462
wikimapia.org/,84,78,3.3s,3.7s,62,1.52
jiayuan.com/,52,61,7.7s,7.9s,114,1.95
sanspo.com/,16,45,13.8s,16.4s,710,2.7
whitepages.com/,97,93,1.0s,1.9s,11,25
yelp.com/,69,85,5.0s,5.0s,96,1.7
real.com/,94,73,1.3s,1.4s,43,964
bizrate.com/,74,66,1.1s,3.1s,99,1.14
amazon.cn/,52,69,9.2s,22.0s,238,4.79
hc360.com/,32,58,27.1s,27.4s,844,8.9
17173.com/,72,56,26.7s,27.6s,174,1.96
ineedfile.com/,93,79,1.5s,1.8s,24,183
360buy.com/,34,63,7.5s,10.8s,199,2.28
8684.cn/,78,69,10.0s,14.2s,55,364
pplive.com/,58,57,12.6s,30.8s,198,4.45
over-blog.com/,31,57,6.7s,9.0s,173,3.92
baixaki.com.br/,54,70,2.1s,19.8s,268,1.97
beemp3.com/,95,82,2.6s,3.5s,22,612
cnzz.com/,47,68,7.8s,10.2s,135,2.85
usatoday.com/,13,47,34.7s,66.6s,1075,2.24
tenpay.com/,90,77,23.2s,23.4s,45,456
asahi.com/,18,44,11.6s,27.1s,592,4.5
surveymonkey.com/,67,67,3.6s,4.3s,104,1.26
21cn.com/,72,63,6.8s,8.0s,68,1.07
nba.com/,48,44,11.1s,12.9s,272,2.46
informer.com/,93,78,0.9s,1.0s,15,118
intuit.com/,69,64,2.4s,3.9s,93,1.65
letitbit.net/,100,97,1.2s,2.5s,13,287
plala.or.jp/,34,51,7.3s,8.5s,135,5.62
homedepot.com/,37,59,3.4s,15.7s,235,6.88
ctrip.com/,83,58,11.3s,11.8s,131,1.49
opera.com/,78,76,2.3s,2.9s,61,2.02
